Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
ASSAULT (AGG) -SERIOUS BODILY INJURY,1814,A,ASSAULT OFFENSES,1
ASSAULT -BODILY INJURY ONLY,12472,A,ASSAULT OFFENSES,1
ASSAULT -ELD OR DISABLED VIC -BODILY INJURY ONLY,235,A,ASSAULT OFFENSES,1
ASSAULT -ELD OR DISABLED VIC -OFFENSIVE CONTACT,91,A,ASSAULT OFFENSES,1
ASSAULT -ELD OR DISABLED VIC -THREATS,22,A,ASSAULT OFFENSES,1
ASSAULT -EMS PERSONNEL PROVIDING SER - BODILY INJURY ONLY,20,A,ASSAULT OFFENSES,1
ASSAULT -FAM VIO ELD OR DISABLED VIC -BODILY INJURY ONLY,8,A,ASSAULT OFFENSES,1
ASSAULT -FAM VIO ELD OR DISABLED VIC -OFFENSIVE CONTACT,1,A,ASSAULT OFFENSES,1
ASSAULT -FAM VIO ELD OR DISABLED VIC -THREATS,1,A,ASSAULT OFFENSES,1
"ASSAULT -FAM VIO PREV CONV, IMPED BREATH/CIRC-NO LOSS OF CON PC 22.01(B)(1))",15,A,ASSAULT OFFENSES,1
ASSAULT -FAM VIOL THREA,206,A,ASSAULT OFFENSES,1
ASSAULT -GOVT CONTR OR EMP VIC - BODILY INJURY ONLY,2,A,ASSAULT OFFENSES,1
ASSAULT -OF CORRECTIONAL OFFICER - BODILY INJURY ONLY,2,A,ASSAULT OFFENSES,1
ASSAULT -OF SECURITY OFFICER - BODILY INJURY ONLY,197,A,ASSAULT OFFENSES,1
ASSAULT -OFFENSIVE CONTACT,13535,A,ASSAULT OFFENSES,1
ASSAULT ON PUBLIC SERVANT - PRELIMINARY INVESTIGATION,1,A,ASSAULT OFFENSES,1
ASSAULT ON PUBLIC SERVANT (AGG) - PRELIMINARY INVESTIGATION,4,A,ASSAULT OFFENSES,1
ASSAULT -PUB SERV (LAW ENF) - BODILY INJURY ONLY,27,A,ASSAULT OFFENSES,1
ASSAULT -PUB SERV (NON LAW ENF) - BODILY INJURY ONLY,71,A,ASSAULT OFFENSES,1
ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),29,A,ASSAULT OFFENSES,1
ASSAULT -SPORTS PARTICIPANT VICTIM,6,A,ASSAULT OFFENSES,1
ASSAULT -VERBAL THREAT,5665,A,ASSAULT OFFENSES,1
ATTACK BY DANGEROUS DOG,1158,B,ALL OTHER OFFENSES,1
ATTACK BY DOG DEATH,2,B,ALL OTHER OFFENSES,1
ATTACK BY DOG SBI,93,B,ALL OTHER OFFENSES,1
BESTIALITY - PRELIMINARY INVESTIGATION,1,B,ANIMAL OFFENSES,1
BIGAMY,9,B,ALL OTHER OFFENSES,0
BMV,86473,A,BURGLARY/ BREAKING & ENTERING,1
BMV - PRELIMINARY INVESTIGATION,628,A,BURGLARY/ BREAKING & ENTERING,1
BMV (ATT),435,A,BURGLARY/ BREAKING & ENTERING,1
BMV (ATT) (OF AUTO ACCESSORY) (P.C. 30.04(A)),52,A,BURGLARY/ BREAKING & ENTERING,1
BMV (ENCLOSED RAIL CAR) - FORCED ENTRY,6,A,BURGLARY/ BREAKING & ENTERING,1
BMV (ENCLOSED RAIL CAR) - NO FORCED ENTRY,2,A,BURGLARY/ BREAKING & ENTERING,1
BMV (OF AUTO ACCESSORY) (P.C. 30.04(A)),5135,A,BURGLARY/ BREAKING & ENTERING,1
"BMV <$1,500  2/MORE PREV CONV- (NOT EMPLOYEE)",163,A,BURGLARY/ BREAKING & ENTERING,1
"BMV <$1,500 2/MORE PREV CONV- (BY EMPLOYEE",1,A,BURGLARY/ BREAKING & ENTERING,1
BRIBERY,7,A,BRIBERY,1
BURGLARY - PRELIMINARY INVESTIGATION,1382,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF A COIN OPERATED MACHINE,536,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF BUILDING - FORCED ENTRY,22560,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF BUILDING - NO FORCED ENTRY,5102,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF BUILDING (ATT),301,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF HABITATION - FORCED ENTRY,25314,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF HABITATION (ATT),831,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF HABITATION INTEND TO COMMIT AGG ASSAULT,68,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF HABITATION INTEND TO COMMIT ROBBERY,43,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF HABITATION INTEND TO COMMIT SIMPLE ASSAULT,201,A,BURGLARY/ BREAKING & ENTERING,1
BURGLARY OF HABITATION -NO FORCED ENTRY,13178,A,BURGLARY/ BREAKING & ENTERING,1
CAPITAL MURDER BY TERROR THREAT/OTHER FELONY,114,A,HOMICIDE OFFENSES,1
CAPITAL MURDER OF MULTIPLE PERSONS,30,A,HOMICIDE OFFENSES,1
CAPITAL MURDER WHILE REMUNERATION,1,A,HOMICIDE OFFENSES,1
COCKFIGHTING: SPACE/OWNS/TRAINS/EQUIPS,5,A,ANIMAL OFFENSES,0
