Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
FAIL TO COMPLY SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,62,B,ALL OTHER OFFENSES,0
FAIL TO COMPLY SEX OFFENDERS DUTY TO REGISTER W/PREV CONV,69,B,ALL OTHER OFFENSES,0
FAIL TO ID -FUGITIVE FROM JUSTICE,36,B,ALL OTHER OFFENSES,0
FAIL TO ID -FUGITIVE INTENT GIVE FALSE INFO,86,A,FRAUD OFFENSES,1
FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),485,A,FRAUD OFFENSES,1
FAIL TO ID -REFUSES TO PROVIDE INFO,119,B,ALL OTHER OFFENSES,0
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,1733,B,ALL OTHER OFFENSES,0
FAILURE TO REPORT FELONY,1,B,ALL OTHER OFFENSES,0
FALSE ALARM OR REPORT,237,B,ALL OTHER OFFENSES,0
FALSE ALARM OR REPORT EMERGENCY,51,B,ALL OTHER OFFENSES,0
FALSE ID AS POLICE OFFICER,3,A,FRAUD OFFENSES,1
FALSE OR FORGERY STATMENT VEHICLE REGISTRATION,2,A,COUNTERFEITING / FORGERY,0
FALSE REPORT REGARDING MISSING CHILD OR MISSING PERSON,1,A,COUNTERFEITING / FORGERY,0
FALSE REPORT TO POLICE OFFICER/LAW ENFORCE EMPL,61,A,COUNTERFEITING / FORGERY,0
FALSE STATEMENT FOR PROPERTY/CREDIT $100 < $750,3,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT $1500 < $20K,18,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT $200K,1,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT $20K < $100K,21,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT $2500 < $30K,78,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT $30K < $150K,53,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT $50 < $500,4,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT $500 < $1500,5,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT $750 < $2500,10,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT < $100,3,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT > $100 < $750 PC 32.32(c2),9,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT > $150K < $300K PC32.32(c6),5,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT > $300K PC32.32(c7),1,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT > $30K < $150K PC32.32(c5),113,A,FRAUD OFFENSES,1
"FALSE STATEMENT FOR PROPERTY/CREDIT > $750 < $2,500 PC32.32(c3)",28,A,FRAUD OFFENSES,1
FALSE STATEMENT FOR PROPERTY/CREDIT >$300K,5,A,FRAUD OFFENSES,1
"FALSE STATEMENT FOR PROPERTY/CREDIT> $2,500 < $30K PC32.32(c4)",177,A,FRAUD OFFENSES,1
FICTITIOUS LICENSE PLATE,55,A,FRAUD OFFENSES,1
FIREWORKS REGULATIONS,2,B,ALL OTHER OFFENSES,0
FLEEING POLICE OFFICER,120,B,ALL OTHER OFFENSES,0
FLEEING POLICE OFFICER IMMINENT DANGER SBI,7,B,ALL OTHER OFFENSES,0
FORGERY FINANCIAL INSTR > OR EQUAL $100<$750 ELDERLY ENH IAT,1,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTR > OR EQUAL $2500<$30K ELDERLY ENH IAT,5,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTR > OR EQUAL $750<$2500 ELDERLY ENH IAT,2,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTRUMENT,2486,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTRUMENT > OR EQUAL $100<$750 IAT,31,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTRUMENT > OR EQUAL $2500<$30K IAT,35,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTRUMENT > OR EQUAL $30K<$150K IAT,2,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTRUMENT > OR EQUAL $750<$2500 IAT,29,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTRUMENT ELDERLY,69,A,COUNTERFEITING / FORGERY,1
FORGERY FINANCIAL INSTRUMENT ELDERLY ENH IAT,1,A,COUNTERFEITING / FORGERY,1
FORGERY GOVT/NATION INST/MONEY/SECURITY ELDER,68,A,COUNTERFEITING / FORGERY,1
FORGERY GOVT/NATIONAL INST/MONEY/SEC ELDERLY ENH IAT,2,A,COUNTERFEITING / FORGERY,1
FORGERY GOVT/NATIONAL INST/MONEY/SECURITY,868,A,COUNTERFEITING / FORGERY,1
FORGERY- PRELIMINARY INVESTIGATION,523,A,COUNTERFEITING / FORGERY,1
FORGERY TO DEFRAUD OR HARM ELDERLY,86,A,COUNTERFEITING / FORGERY,1
FORGERY TO DEFRAUD OR HARM OF ANOTHER,505,A,COUNTERFEITING / FORGERY,1
FORGING OR ALTERING PRESCRIPTION,102,A,COUNTERFEITING / FORGERY,0
FORGING OR ALTERING PRESCRIPTION ENH,1,A,COUNTERFEITING / FORGERY,0
FOUND PROPERTY (NO OFFENSE),27978,C,MISCELLANEOUS,1
FRAUD DEL CS/PRESCRIPTION SCH II/SCRIPT FORM,22,A,FRAUD OFFENSES,1
"FRAUD DEL CS/PRESCRIPTION SCH III,IV,V",22,A,FRAUD OFFENSES,1
FRAUD DELIVERS PRESCRIPTION FORMS SCHEDULE II CONT SUBS,10,A,FRAUD OFFENSES,1
"FRAUD DELIVERS PRESCRIPTION FORMS SCHEDULE LLL,LV,V",15,A,FRAUD OFFENSES,1
FRAUD DESTROY REMOVAL CONCEALMENT WRITING,100,A,FRAUD OFFENSES,1
FRAUD DESTROY REMOVAL CONCEALMENT WRITING ENH,2,A,FRAUD OFFENSES,1
FRAUD EXPLOITATION OF CHILD/ELDERLY/DISABLED( PC 32.53(c)),64,A,FRAUD OFFENSES,1
FRAUD INTENT OBTAIN PRESCRIP NOT MED NEEDED SCHED I OR I,19,A,FRAUD OFFENSES,1
FRAUD INTENT OBTAIN PRESCRIP NOT MED NEEDED SCHED LLL OR I,63,A,FRAUD OFFENSES,1
FRAUD INTENT OBTAIN PRESCRIPTION NOT MED NEEDED SCHEDULE,28,A,FRAUD OFFENSES,1
"FRAUD POSS CS/PRESCRIPTION SCH I, II",6,A,FRAUD OFFENSES,1
"FRAUD POSS CS/PRESCRIPTION SCH III, IV",9,A,FRAUD OFFENSES,1
FRAUD POSS CS/PRESCRIPTION SCH V,16,A,FRAUD OFFENSES,1
FRAUD POSS CS/PRESRCIPTION SCH II OR III/SCRIPT FORM,3,A,FRAUD OFFENSES,1
FRAUD POSS CS/PRESRCIPTION SCH IV OR V,1,A,FRAUD OFFENSES,1
FRAUD POSS PRESRCIPTION FORM SCHEDULE IL OR LII CONT SUB,5,A,FRAUD OFFENSES,1
FRAUD POSS PRESRCIPTION FORMS SCHEDULE LV OR V CONT SUBS,3,A,FRAUD OFFENSES,1
FRAUD TRANSFER OF MOTOR VEH <$20K,6,A,FRAUD OFFENSES,1
FRAUD TRANSFER OF MOTOR VEH > OR EQUAL $20K,2,A,FRAUD OFFENSES,1
FRAUD USE/POSS IDENT INFO # ITEMS <5 ELDERLY,223,A,FRAUD OFFENSES,1
FRAUD USE/POSS IDENT INFO # ITEMS 10<50 ELDER,9,A,FRAUD OFFENSES,1
FRAUD USE/POSS IDENT INFO # ITEMS 5<10 ELDERLY,27,A,FRAUD OFFENSES,1
FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,1960,A,FRAUD OFFENSES,1
FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,311,A,FRAUD OFFENSES,1
FRAUD USE/POSS IDENTIFYING INFO # ITEMS 5<10,221,A,FRAUD OFFENSES,1
FRAUD USE/POSS IDENTIFYING INFO # ITEMS 50 OR MORE,68,A,FRAUD OFFENSES,1
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,4336,A,FRAUD OFFENSES,1
FRAUDULENT FILING OF FINANCING STATEMENT,31,A,FRAUD OFFENSES,1
FRAUDULENT TRANSFER OF M V > OR EQUAL $30K <$150K PC32.34(f2),3,A,FRAUD OFFENSES,1
FRAUDULENT TRANSFER OF M V >OR EQUAL TO $150K <$300K,1,A,FRAUD OFFENSES,1
FRAUDULENT TRANSFER OF MOTOR VEHICLE < $30K PC32.34(f1),7,A,FRAUD OFFENSES,1
FRAUDULENT TRANSFER OF MOTOR VEHICLE <$30K,1,A,FRAUD OFFENSES,1
GAMBLING PROMOTION,14,A,GAMBLING OFFENSES,0
GRAFFITI >OR EQUAL $100 BUT <$750,101,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI >OR EQUAL $2500 BUT <$30K,9,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI >OR EQUAL $750 BUT <$2500,32,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS  >OR EQUAL $100 <$750 PC28.08(b2),129,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS <$100,76,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS <$100K,2,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS <$1500,32,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS <$20K,12,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS <$500,72,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS > $300K PC28.08(b7),4,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS > OR EQUAL $150K <$300K PC28.08(b6),1,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS > OR EQUAL $2500 <$30K PC28.08(b4),39,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS > OR EQUAL $30K < $150K PC28.08(b5),6,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI PECUNIARY LOSS > OR EQUAL $750 <$2500 PC28.08(b3),66,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI REAL/PERSONAL PROP > OR EQUAL $750 <$30K PC28.08 (d2),9,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI WORSHIP BURIAL/PUBLIC MONUMENT/SCHOOL,7,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
GRAFFITI WORSHIP BURIAL/PUBLIC MONUMENT/SCHOOL PC28.08(d),3,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
HARASSMENT,9588,A,ASSAULT OFFENSES,1
HARASSMENT BY PERSON IN CORRECTIONAL/DETENTION,5,A,ASSAULT OFFENSES,1
HARASSMENT OF PUBLIC SERVANT,77,A,ASSAULT OFFENSES,1
HARASSMENT -PRELIMINARY INVESTIGATION,550,A,ASSAULT OFFENSES,1
HARASSMENT W/PREV CONVICTION,3,A,ASSAULT OFFENSES,1
HARASSMENT-REPEATED ELECTRONIC COMM <18 INTENT SUICIDE OR SBI,18,A,ASSAULT OFFENSES,1
HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,982,A,ASSAULT OFFENSES,1
HINDER APPREH/PROS KNOWN FELON SEX OFFENDER,1,B,ALL OTHER OFFENSES,0
HINDER APPREHENSION OR PROSECUTION KNOWN FELON,7,B,ALL OTHER OFFENSES,0
HINDER APPREHENSION/PROSECUTION,5,B,ALL OTHER OFFENSES,0
HOAX BOMB WEAPONS FREE ZONE,9,A,WEAPON LAW VIOLATIONS,1
HOAX BOMBS,96,A,WEAPON LAW VIOLATIONS,1
HOMICIDE,21,A,HOMICIDE OFFENSES,1
HOMICIDE (POLICE SHOOTING),6,A,HOMICIDE OFFENSES,1
HOURS OF SALE OF BEER PROHIBITED,1,B,LIQUOR LAW VIOLATIONS,0
IDENTITY THEFT BY ELECTRONIC DEVICE,33,A,FRAUD OFFENSES,1
IDENTITY THEFT BY ELECTRONIC DEVICE HIPAA,1,A,FRAUD OFFENSES,1
ILLEGAL DUMPING > OR EQUAL 500LBS < 1000 LBS,55,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING >1000 LBS OR > 200 CFT HSC 365.012(g)(1),142,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING >5 LBS < 500 LBS,240,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING >5 LBS < 500 LBS OR >5 GAL <100 CFT HSC 365.012(e),268,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING >OR EQ 500LBS<1000LBS >OR EQ 100CFT<200CFT HSC 365.012 (f)(1),84,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING 1000 LBS OR MORE,74,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING COMM >200LBS OR >200 CFT HSC 365.012 (g)(2),19,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING COMM >5LBS< 200LBS OR >5GAL<200 CFT HSC 365.012(f)(2),14,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING COMM WGHT 5LBS < 200 LBS,3,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING COMM WGT/BARREL OR DRUM,7,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING IN CLOSED BARREL OR DRUM HSC 365.012(g)(3),6,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING LT LIT/WASTE <500LBS OR <100 CFT HSC 365.012(d-1),10,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING W/PREV CONV (FELONY),1,B,ALL OTHER OFFENSES,0
ILLEGAL DUMPING W/PREV CONV (MISDEMEANOR),1,B,ALL OTHER OFFENSES,0
ILLUMINATING AN AIRCRAFT W/LASER POINTER,4,B,ALL OTHER OFFENSES,0
ILLUMINATING AN AIRCRAFT W/LASER POINTER IMPAIR OPERATOR,7,B,ALL OTHER OFFENSES,0
IMPERSONATE PUBLIC SERVANT,118,A,FRAUD OFFENSES,1
IMPERSONATE SECURITY OFFICER,6,A,FRAUD OFFENSES,1
INDECENCY W/A CHILD EXPOSES,1,B,DISORDERLY CONDUCT,1
INHALANT PARAPHERNALIA USES OR POSS,7,A,DRUG/ NARCOTIC VIOLATIONS,0
INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),2479,A,ASSAULT OFFENSES,1
INJURED PERSON - FIREARM INJURY (NO OFFENSE),675,A,ASSAULT OFFENSES,1
INJURED PERSON - OCCUPATIONAL (OTHER THAN FIREARM) (NO OFFENSE),296,A,ASSAULT OFFENSES,1
INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),8093,A,ASSAULT OFFENSES,1
INJURY CHILD/ELDERLY/DISABLED-CRIM NEG CAUSE BOD INJ,3,A,ASSAULT OFFENSES,1
INJURY CHILD/ELDERLY/DISABLED-FAM VIOL- INT-S.B.I,1,A,ASSAULT OFFENSES,1
INJURY CHILD/ELDERLY/DISABLED-INT-BODILY INJURY-HEALTH CAR,15,A,ASSAULT OFFENSES,1
INJURY CHILD/ELDERLY/DISABLED-INTENT-BODILY INJURY,204,A,ASSAULT OFFENSES,1
INJURY CHILD/ELDERLY/DISABLED-INT-S.B.I.,24,A,ASSAULT OFFENSES,1
INJURY CHILD/ELDERLY/DISABLED-RECKLESS-BODILY INJURY,20,A,ASSAULT OFFENSES,1
INJURY CHILD/ELDERLY/DISABLED-RECKLESS-S.B.I.,4,A,ASSAULT OFFENSES,1
INSURANCE FRAUD  RISKING BODILY INJ/DEATH,1,A,FRAUD OFFENSES,1
"INSURANCE FRAUD > OR EQUAL $2,500<$30K",1,A,FRAUD OFFENSES,1
INSURANCE FRAUD > OR EQUAL $2500<$30K,1,A,FRAUD OFFENSES,1
INSURANCE FRAUD > OR EQUAL $30K<$150K,2,A,FRAUD OFFENSES,1
INSURANCE FRAUD > OR EQUAL $750<$2500,1,A,FRAUD OFFENSES,1
INSURANCE FRAUD W/INT TO DEFRAUD/DECEIVE,1,A,FRAUD OFFENSES,1
INTERFERE W/ CHILD CUSTODY,587,A,KIDNAPPING/ ABDUCTION,1
INTERFERE W/ CHILD CUSTODY -PRELIMINARY INVESTIGATION,15,A,KIDNAPPING/ ABDUCTION,1
INTERFERE W/ PUBLIC DUTIES,109,B,ALL OTHER OFFENSES,0
INTERFERE W/EMERGENCY CALL,168,B,ALL OTHER OFFENSES,0
INTERFERE W/POLICE SERV ANIMAL DEPRIVE HANDLING,1,B,ALL OTHER OFFENSES,0
INTERFERE W/POLICE SERV ANIMAL INJURY,2,B,ALL OTHER OFFENSES,0
INTERFERE W/POLICE SERV ANIMAL TAUNTS/STRIKES,1,B,ALL OTHER OFFENSES,0
INTERFERE W/POLICE SERV ANIMAL THROWS OBJECT,1,B,ALL OTHER OFFENSES,0
INTERFERE W/RR PROPERTY-  MB,1,B,ALL OTHER OFFENSES,0
INTERFERE W/RR PROPERTY- ENTERS PROPERTY,1,B,ALL OTHER OFFENSES,0
INTOX ASSAULT CAUSE SBI PEACE OFFICER/JUDGE,2,B,DRIVING UNDER THE INFLUENCE,0
INTOX ASSAULT CAUSES BRAIN INJ VEGETATIVE STATE 49.09(b-4),1,A,ASSAULT OFFENSES,1
INTOX MANSLAUGHTER,29,A,HOMICIDE OFFENSES,1
INTOX MANSLAUGHTER CAUSE DEATH PEACE OFC/FIRE/EMS,2,A,HOMICIDE OFFENSES,1
INTOX MANSLAUGHTER WITH VEHICLE,29,A,HOMICIDE OFFENSES,1
INTOXICATION ASSAULT W/VEH SERIOUS BODILY INJURY,221,A,ASSAULT OFFENSES,1
INVALIDATION OF STAMP LOCAL DISTRIBUTOR,1,B,LIQUOR LAW VIOLATIONS,0
INVASIVE VISUAL RECORDING,107,A,PORNOGRAPHY/ OBSCENE MATERIAL,1
INVASIVE VISUAL RECORDING BATH/DRESS RM,11,A,PORNOGRAPHY/ OBSCENE MATERIAL,1
KEEPING A GAMBLING PLACE,162,A,GAMBLING OFFENSES,0
KIDNAPPING,34,A,KIDNAPPING/ ABDUCTION,1
KIDNAPPING - PRELIMINARY INVESTIGATION,35,A,KIDNAPPING/ ABDUCTION,1
KIDNAPPING (AGG) -,63,A,KIDNAPPING/ ABDUCTION,1
KIDNAPPING (AGG) -  PRELIMINARY INVESTIGATION,18,A,KIDNAPPING/ ABDUCTION,1
KIDNAPPING (AGG) -FOR RANSOM/REWARD,2,A,KIDNAPPING/ ABDUCTION,1
KIDNAPPING (AGG) -RELEASE VICTIM SAFE PLACE,1,A,KIDNAPPING/ ABDUCTION,1
KIDNAPPING (AGG) -TERRORIZE PERSON OR 3RD PARTY,3,A,KIDNAPPING/ ABDUCTION,1
LABELING UNAUTH RECORDING 65+ W/I 180D/PREV CONV,2,A,COUNTERFEITING / FORGERY,0
LABELING UNAUTHORIZED RECORDING > 7 BUT <65 W/I 180D,3,A,COUNTERFEITING / FORGERY,0
LABELING UNAUTHORIZED RECORDING 65+ W/I 180D/PREV CONV,18,A,COUNTERFEITING / FORGERY,0
LEAVING A CHILD IN A VEH,2,A,"FAMILY OFFENSES, NONVIOLENT",1
LEWD/IMMORAL/INDECENT CONDUCT,5,B,DISORDERLY CONDUCT,0
LICENSE AND DESIGNATED OPERATOR REQUIRED,8,B,ALL OTHER OFFENSES,0
LICENSE REQUIRED TO BREW/SALE BEER,13,B,LIQUOR LAW VIOLATIONS,0
LOCATION OF SEXUALLY ORIENTED BUSINESSES,1,A,PORNOGRAPHY/ OBSCENE MATERIAL,0
LOST PROPERTY (NO OFFENSE),11539,C,MISCELLANEOUS,1
MAN DEL CONT SUB CAUSE DEATH OR SBI,2,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB NOT IN PEN GRP,3,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB NOT IN PEN GRP *DRUG FREE ZONE*,1,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 1 <1G,395,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 1 <1G *DRUG FREE ZONE*,23,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G *DRUG FREE ZONE*,9,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,368,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 200G <400G,31,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 400G,53,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,667,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 1A > OR EQUAL 20<80AU,1,A,DRUG/ NARCOTIC VIOLATIONS,0
"MAN DEL CONT SUB PEN GRP 1A > OR EQUAL 80<4,000AU",3,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 < 1G,2,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 > OR EQUAL 1G *DRUG FREE ZONE*,1,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 > OR EQUAL 1G<4G,2,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 > OR EQUAL 400G,1,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 > OR EQUAL 4G<400G,4,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 or 2-A < 1G,16,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 or 2-A < 1G *DRUG FREE ZONE*,9,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 1G *DRUG FREE ZONE*,5,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 1G<4G,37,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 400G,1,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 4G<400G,101,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 3/4 < 28G *DRUG FREE ZONE*,7,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 3/4 <28G,72,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 3/4 > OR EQUAL  400G,3,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 3/4 > OR EQUAL 200G<400G,4,A,DRUG/ NARCOTIC VIOLATIONS,0
MAN DEL CONT SUB PEN GRP 3/4 > OR EQUAL 28G<200G,11,A,DRUG/ NARCOTIC VIOLATIONS,0
MANIFESTING FOR SELLING DRUGS,105,A,DRUG/ NARCOTIC VIOLATIONS,0
MANIFESTING THE PURPOSE OF ENGAGING IN PROSTITUTION,29,A,PROSTITUTION OFFENSES,1
MANIFESTING THE PURPOSE OF SELLING ILLEGAL DRUGS AND CHEMICALS,12,A,DRUG/ NARCOTIC VIOLATIONS,0
MANSLAUGHTER,11,A,HOMICIDE OFFENSES,1
MANSLAUGHTER (TRAFFIC FATALITY),27,A,HOMICIDE OFFENSES,1
MANUFACTURE OF DANGEROUS DRUG,1,A,DRUG/ NARCOTIC VIOLATIONS,0
MASSAGE THERAPY LIC/OWN VIO W/3 OR MORE PREV CONV,1,B,ALL OTHER OFFENSES,1
MASSAGE THERAPY LICENSE/OWNER VIO,2,B,ALL OTHER OFFENSES,1
MIR (JUVENILE CONTACT),222,B,ALL OTHER OFFENSES,1
MIR (JUVENILE CURFEW CITATION),2,B,ALL OTHER OFFENSES,1
MIR (JUVENILE CURFEW WARNING),1,B,ALL OTHER OFFENSES,1
"MISAPP FIDUC/FINAN PROP > OR EQUAL $1,500<$20K",1,A,FRAUD OFFENSES,1
MISAPP FIDUC/FINAN PROP > OR EQUAL $100 < $750,2,A,FRAUD OFFENSES,1
MISAPP FIDUC/FINAN PROP > OR EQUAL $100<$750,2,A,FRAUD OFFENSES,1
MISAPP FIDUC/FINAN PROP > OR EQUAL $150K < $300K,2,A,FRAUD OFFENSES,1
MISAPP FIDUC/FINAN PROP > OR EQUAL $150K<$300K,2,A,FRAUD OFFENSES,1
"MISAPP FIDUC/FINAN PROP > OR EQUAL $2,500<$30K",3,A,FRAUD OFFENSES,1
MISAPP FIDUC/FINAN PROP > OR EQUAL $20<$500 ELDERLY,1,A,FRAUD OFFENSES,1
MISAPP FIDUC/FINAN PROP > OR EQUAL $30K < $150K,1,A,FRAUD OFFENSES,1
MISAPP FIDUC/FINAN PROP > OR EQUAL $30K<$150K,1,A,FRAUD OFFENSES,1
"MISAPP FIDUC/FINAN PROP > OR EQUAL $750 < 2,500",1,A,FRAUD OFFENSES,1
"MISAPP FIDUC/FINAN PROP > OR EQUAL $750<$2,500",1,A,FRAUD OFFENSES,1
MISAPP FIDUC/FINAN PROP>  OR EQUAL $300K,1,A,FRAUD OFFENSES,1
MONEY LAUNDERING > $300K PC34.02(e4),1,A,FRAUD OFFENSES,1
MURDER,482,A,HOMICIDE OFFENSES,1
NATURAL DEATH (NO OFFENSE),5894,C,MISCELLANEOUS,0
NO CODE,17,C,MISCELLANEOUS,0
OBSCENE PROMOTE/PRODUCE/DIRECT,2,A,PORNOGRAPHY/ OBSCENE MATERIAL,0
OBSCENE PROMOTE/PRODUCE/DIRECT W/DEVIANT SEX ACT,1,A,PORNOGRAPHY/ OBSCENE MATERIAL,0
OBSTRUCT HIGHWAY PASSAGEWAY,47,B,DISORDERLY CONDUCT,0
OBSTRUCTION OR RETALIATION,304,B,ALL OTHER OFFENSES,0
OBSTRUCTION OR RETALIATION AGAINST JUROR,1,B,ALL OTHER OFFENSES,0
OBSTRUCTION OR RETALIATION WEBSITE POST ADD/PHN,1,B,ALL OTHER OFFENSES,0
OFFICIAL OPPRESSION,11,B,ALL OTHER OFFENSES,0
ONLINE HARRASSMENT-EMAIL/MESSAGE W/IDENT INFOR,13,A,FRAUD OFFENSES,1
ONLINE HARRASSMENT-NAME/PERSONA TO CREATE PAGE,5,A,FRAUD OFFENSES,1
ONLINE IMPERSONATION-EMAIL/MESSAGE W/IDENT INFOR,12,A,FRAUD OFFENSES,1
ONLINE IMPERSONATION-NAME/PERSONA TO CREATE PAGE,35,A,ASSAULT OFFENSES,1
ONLINE SOLICITATION OF A MINOR SEX CONDUCT,2,A,SEX OFFENSES,1
